iteration,# of objects,elapsed_time,cpu_percent,memory_available
1,0,0.018819809,8,19.1
6,5,0.012208939,9.2,19
11,10,0.017289877,8.9,18.9
16,15,0.018874168,3.1,20.3
21,20,0.016463995,10.3,18.6
26,25,0.016653061,15.1,18.7
31,30,0.012774944,12.2,18.5
36,35,0.016282082,10,18.7
41,40,0.01668191,5.2,18.8
46,45,0.019197226,12.3,18.9
51,50,0.014447212,4,18.8
56,55,0.012363195,12.2,18.6
61,60,0.018285036,9.6,16.9
66,65,0.017144918,19.5,18.7
71,70,0.014068842,17.3,18.8
76,75,0.01744318,12.5,19
81,80,0.012911081,7.4,19.1
86,85,0.018692017,11.4,19.2
91,90,0.019518852,8.4,19.2
96,95,0.015371084,10.3,19.5
101,100,0.015388012,13.5,16.7
106,105,0.016284227,24.1,17.2
111,110,0.015172005,11,17.5
116,115,0.018891811,13.8,18.4
121,120,0.019079924,6,18.3
126,125,0.012224913,9.7,18
131,130,0.013028145,12.7,18.3
136,135,0.017341852,6.8,18.4
141,140,0.013849735,12.9,18.3
146,145,0.020442963,8,18.4
151,150,0.01546073,7.3,18.7
156,155,0.019907713,11.9,18.8
161,160,0.014564037,18.2,18.8
166,165,0.015330076,11.1,18.6
171,170,0.015778065,11.2,18.9
176,175,0.014713049,11.8,19
181,180,0.018867254,13.5,18.7
186,185,0.016734838,12.8,18.7
191,190,0.011813879,14.4,19
196,195,0.021469831,12,18.9
201,200,0.018519878,6.1,19.2
206,205,0.007659912,4.1,19.3
211,210,0.01540184,11.1,19.1
216,215,0.019130945,5.3,19.1
221,220,0.018849611,2.4,19.5
226,225,0.01375103,7.2,19.4
231,230,0.012496233,10.1,19.4
236,235,0.008790016,10.3,19.4
241,240,0.011327982,12.4,19.3
246,245,0.015933275,10.5,19.2
251,250,0.01436305,10.3,19.3
256,255,0.018104076,6.6,19.4
261,260,0.012519836,11.1,19.2
266,265,0.016942978,12.3,19.1
271,270,0.01586628,7.1,19.3
276,275,0.015930891,9.6,19.1
281,280,0.015218258,10.9,19.2
286,285,0.01478672,11.7,19.3
291,290,0.013647079,7.5,19.3
296,295,0.018176079,2.6,19.7
301,300,0.016989946,11.5,19.3
306,305,0.019613266,3.2,19.5
311,310,0.012144089,10.8,18.8
316,315,0.01035881,11.7,18.8
321,320,0.01702404,12,18.9
326,325,0.019263029,10.6,18.9
331,330,0.012360334,10.4,18.8
336,335,0.016797066,7,19
341,340,0.019585848,9.9,19.1
346,345,0.011736155,9.7,19.1
351,350,0.020412207,13.4,19.2
356,355,0.019530058,10.3,19.3
361,360,0.021710157,13.7,19.5
366,365,0.018719196,10.9,19.2
371,370,0.011673927,13,19.2
376,375,0.014362097,11.6,19.3
381,380,0.017976761,12.9,19.3
386,385,0.014530897,10.3,19.1
391,390,0.018695116,2.9,19.3
396,395,0.012948036,10.2,19
401,400,0.016654015,13.6,19.2
406,405,0.012431145,17.3,19
411,410,0.01341486,13.6,18.9
416,415,0.016250849,10.7,19.1
421,420,0.010920048,10.5,18.9
426,425,0.019603968,12.3,19.1
431,430,0.015151739,8.6,19.7
436,435,0.014713049,8.5,19.5
441,440,0.009065866,12.7,19.4
446,445,0.013908148,12.4,19.2
451,450,0.015521765,17,19.1
456,455,0.017922878,9.5,19.1
461,460,0.014285088,11,19.3
466,465,0.019211054,11.1,18.9
471,470,0.015899181,6.5,19.1
476,475,0.014806032,15.3,19.2
481,480,0.015594959,6.2,19.3
486,485,0.019735098,7.8,19.6
491,490,0.017044067,9.5,19.6
496,495,0.017445803,7.2,19.3
501,500,0.019263029,5.5,19.4
506,505,0.007625103,4.6,19.4
511,510,0.014630795,7.3,19.5
516,515,0.011157036,11,19.3
521,520,0.013602018,13.1,19.3
526,525,0.019570112,8.4,19.1
531,530,0.017760992,6.5,19.3
536,535,0.013307095,11.3,19.2
541,540,0.017101049,11.3,19
546,545,0.017954111,7.4,19.1
551,550,0.016545057,4.5,19.3
556,555,0.019473076,12.7,19.3
561,560,0.017149925,8.4,19.4
566,565,0.015851974,9.7,19.3
571,570,0.01932025,5.3,19.6
576,575,0.016240835,9,19.6
581,580,0.019423246,6.9,19.6
586,585,0.019706249,7.9,20.2
591,590,0.014753819,8.3,19.4
596,595,0.016033173,14.5,19.3
601,600,0.020457983,11.8,19.3
606,605,0.016447067,16.5,20.3
611,610,0.012789965,9.2,19.1
616,615,0.012418985,8.8,19.4
621,620,0.017498732,10.1,19.4
626,625,0.012636185,8.8,19.3
631,630,0.018448114,10,19.2
636,635,0.018764734,10.4,19.2
641,640,0.018825054,10,19
646,645,0.014051914,12.6,19.1
651,650,0.015890837,6.6,19.4
656,655,0.018738985,8.9,19.4
661,660,0.016192198,13.8,19.3
666,665,0.017145872,8.8,19.1
671,670,0.010118961,10.3,18.9
676,675,0.014089108,10,19.1
681,680,0.016469002,9.5,18.9
686,685,0.019365788,6,19.1
691,690,0.011258125,14.6,19.1
696,695,0.018900871,7.4,19
701,700,0.021110058,8.5,19.4
706,705,0.018594742,2.1,19.8
711,710,0.018817186,2.1,19.8
716,715,0.01390481,9.3,19.3
721,720,0.019348145,13.7,19.2
726,725,0.011605978,12.9,19.2
731,730,0.015605927,10,19.2
736,735,0.013578892,13.4,19.3
741,740,0.015917063,13.4,19.4
746,745,0.014451981,15.2,19
751,750,0.019526958,9.4,19.3
756,755,0.012140036,8.7,19
761,760,0.018911123,3.9,19.2
766,765,0.013118029,13.3,19
771,770,0.0140028,12.9,19.1
776,775,0.016427755,8.7,19.6
781,780,0.01706624,11.9,19
786,785,0.014120102,14,18.5
791,790,0.018754005,11.9,18.6
796,795,0.022299767,9.6,19
801,800,0.016160011,12.1,18.9
806,805,0.012283802,13.5,18.7
811,810,0.017986774,8.2,19.5
816,815,0.012196064,15.4,19
821,820,0.012619972,13.3,19
826,825,0.016823053,12.2,19
831,830,0.017046928,11.3,19
836,835,0.012845039,15.2,18.7
841,840,0.012589216,16.1,18.5
846,845,0.015976906,11.2,18.9
851,850,0.016710997,10.4,19
856,855,0.016932011,10.9,19
861,860,0.014051199,8.4,19.1
866,865,0.011473894,12.5,19.2
871,870,0.020602226,9.4,19
876,875,0.011585951,10.8,19.4
881,880,0.008298159,6.5,19
886,885,0.015655994,9.8,19.1
891,890,0.018564224,6.8,19.2
896,895,0.018176079,7.8,19.3
901,900,0.018049002,8.1,19.2
906,905,0.016663074,10,19.1
911,910,0.017762184,6.4,19.1
916,915,0.012194157,7.6,19.1
921,920,0.015244961,9.9,19.1
926,925,0.020210981,14.3,18.9
931,930,0.016673088,12,19
936,935,0.020812988,11,18.9
941,940,0.019940138,10.9,19.2
946,945,0.017282963,6.9,19.5
951,950,0.016260147,15.9,19.2
956,955,0.019395828,12,18.8
961,960,0.019111872,10.4,19.2
966,965,0.01409483,13,19
971,970,0.017187119,10.7,19.1
976,975,0.020046949,11,19
981,980,0.015753984,12,19
986,985,0.014837027,12.2,19.1
991,990,0.018164873,13.6,19.1
996,995,0.019824982,5.5,19.2
