iteration,# of objects,elapsed_time,cpu_percent,memory_available
0,5,0.01865983,13.7,17.6
5,10,0.021951914,11.5,18
10,15,0.02236104,12,17.8
15,20,0.018099785,23.1,17.5
20,25,0.014975071,12.6,17.5
25,30,0.01770997,12.1,17.5
30,35,0.015275002,15.2,17.3
35,40,0.020924091,8.1,17.4
40,45,0.01766181,12.7,17.5
45,50,0.013631105,14.8,17.5
50,55,0.013684988,11.8,17.2
55,60,0.022441149,13.5,17.5
60,65,0.018587828,11.2,17.8
65,70,0.019487858,10,17.6
70,75,0.018515825,9.3,17.6
75,80,0.014916897,9.4,18
80,85,0.01422596,12.3,17.6
85,90,0.021014214,11.3,17.5
90,95,0.016447067,7.3,17.9
95,100,0.017856836,14,17.7
100,105,0.014374971,10.9,17.6
105,110,0.018201828,14.3,17.7
110,115,0.020706177,7.1,17.7
115,120,0.020309925,12.3,17.8
120,125,0.020743132,13.9,18
125,130,0.020982027,10.2,17.6
130,135,0.020927191,11.1,17.6
135,140,0.020136356,5.3,17.9
140,145,0.020316839,2.3,17.9
145,150,0.020282269,2.5,18.4
150,155,0.021168232,3.4,19
155,160,0.017735958,3.5,19.1
160,165,0.020185709,8.1,18.4
165,170,0.019702911,5.6,18.1
170,175,0.017794132,8.3,17.8
175,180,0.018162966,11.2,17.2
180,185,0.021175146,13,17.8
185,190,0.014949083,14.8,17.5
190,195,0.015013933,9.9,17.9
195,200,0.013836145,14.3,18
200,205,0.020648956,12,18
205,210,0.021779299,12.7,18
210,215,0.015524864,13.5,17.9
215,220,0.018922091,12.7,17.9
220,225,0.01584506,16.2,17.8
225,230,0.018059015,12.2,17.7
230,235,0.020617962,10.5,17.5
235,240,0.017412901,12.6,17.7
240,245,0.021650791,6.4,17.8
245,250,0.01380682,13.1,17.9
250,255,0.020013809,7,17.5
255,260,0.021543741,12.9,17.3
260,265,0.017034054,12.8,17.8
265,270,0.01571703,11.5,17.9
270,275,0.021870852,13,17.7
275,280,0.011125088,7,17.8
280,285,0.020518064,11.1,17.8
285,290,0.017199993,8.1,17.9
290,295,0.020161152,9.3,17.7
295,300,0.018149137,9.5,17.6
300,305,0.012972116,16,17.9
305,310,0.015807867,15.1,17.9
310,315,0.017725945,9.5,17.9
315,320,0.014261961,24.2,17.5
320,325,0.016932011,13.6,17.6
325,330,0.016877174,9.8,17.6
330,335,0.016879082,10.5,17.8
335,340,0.013243198,15.9,17.7
340,345,0.016625166,14.7,17.8
345,350,0.01760006,13.2,17.2
350,355,0.015816212,11.5,17.6
355,360,0.020245314,11.3,17.5
360,365,0.012779951,14.1,17.7
365,370,0.017181873,11.5,17.5
370,375,0.018087864,9.2,17.6
375,380,0.01776886,8.8,17.6
380,385,0.015774965,13.5,17.7
385,390,0.015907049,16.6,17.5
390,395,0.016993046,13.9,17.7
395,400,0.017066956,18.1,17.4
400,405,0.013255119,16.4,17.5
405,410,0.017400742,14.5,17.5
410,415,0.018277884,12.5,17.4
415,420,0.017323017,10.1,17.8
420,425,0.017238855,8.5,17.8
425,430,0.016593933,2.4,17.9
430,435,0.020250797,3.2,18
435,440,0.020395994,3.1,18.4
440,445,0.021761894,4,18.7
445,450,0.02037096,12.3,18.8
450,455,0.01925087,4.5,18.8
455,460,0.018535137,12.3,19
460,465,0.018324852,10,18.5
465,470,0.014775038,2.4,18.5
470,475,0.018311977,4.1,17.9
475,480,0.012458086,8,18
480,485,0.016736984,15.1,17.8
485,490,0.020182848,11.2,17.7
490,495,0.017343283,14.5,17.8
495,500,0.012931824,5.8,17.8
500,505,0.019173861,7.1,18
505,510,0.013529778,14.2,17.6
510,515,0.020454884,7.7,17.5
515,520,0.017183065,1.8,19.2
520,525,0.018834114,1.2,19.1
525,530,0.019212008,0.9,19.7
530,535,0.019278049,1,20.1
535,540,0.01932478,9.3,18.7
540,545,0.015077114,20,18.4
545,550,0.015119076,31.7,17
550,555,0.013901949,28.5,16.8
555,560,0.02335,14.5,16.3
560,565,0.018939972,21.5,15.8
565,570,0.014837027,12.7,15.3
570,575,0.012389183,24.7,16
575,580,0.020074129,19.4,16.6
580,585,0.01006484,17.6,16.1
585,590,0.018681049,13.1,14.7
590,595,0.014521122,10.6,15.8
595,600,0.0201087,17.1,16.2
600,605,0.02182889,14.7,16.3
605,610,0.018697977,22.5,16.2
610,615,0.015936852,28.7,14.7
615,620,0.018567085,19.7,15.5
620,625,0.010777235,9.7,15.8
625,630,0.017666101,11.7,15.5
630,635,0.020259142,7.7,16.5
635,640,0.019865036,5.3,16.9
640,645,0.020509005,8.6,16.5
645,650,0.020663977,8.3,16.9
650,655,0.015911818,11.9,16.9
655,660,0.019966125,4.4,17.1
660,665,0.020887136,5.8,17.2
665,670,0.018454075,16.3,17.3
670,675,0.017907143,10.7,16.8
675,680,0.017703056,12.9,16.7
680,685,0.00936389,11.8,16.8
685,690,0.014858007,15.9,15.8
690,695,0.019979,12.2,16.6
695,700,0.014988899,17.4,15.5
700,705,0.021034956,12.3,16.5
705,710,0.020388842,13.3,16.6
710,715,0.01778388,13.1,15
715,720,0.011998892,14.6,15.6
720,725,0.017873049,17,14
725,730,0.016738176,13.2,14.4
730,735,0.021769047,16.5,13.7
735,740,0.014638186,12.4,13.6
740,745,0.021739006,15.4,10.9
745,750,0.020632982,9.1,13.5
750,755,0.018940926,6.7,15.2
755,760,0.016922951,3.2,16
760,765,0.020544052,3.1,18.1
765,770,0.020412207,3.5,18.4
770,775,0.018082142,2.9,18.2
775,780,0.019165993,1.5,18.4
780,785,0.019898176,4.7,18.7
785,790,0.015804052,2.5,19
790,795,0.019346237,6.4,19.3
795,800,0.019772053,2.9,19.2
800,805,0.016870975,2.2,19.4
805,810,0.009498835,4.5,19.1
810,815,0.020035028,3.9,19.2
815,820,0.020709753,2.7,19.3
820,825,0.019353151,4.6,19.5
825,830,0.02070713,3,19.6
830,835,0.01345396,6.1,17.2
835,840,0.02031827,12,16.3
840,845,0.020676851,11,16.8
845,850,0.017586946,2.1,17.3
850,855,0.023625135,5.8,13.3
855,860,0.020495653,4.8,18.9
860,865,0.015861034,2.4,17.1
865,870,0.019459009,1.8,17.4
870,875,0.019768,1.7,17.9
